StartTime,EndTime,Annotation,MainCategory
02:44.5,02:44.5,Start,(null)
02:50.1,06:02.1,Pizza,Eating
06:18.6,06:32.5,Blow Nose,Non-Eating
06:34.7,07:55.7,Water,Drinking
07:59.4,08:22.6,Walking,Non-Eating
08:45.8,10:11.8,Pritzl,Eating
11:16.2,12:58.8,Bannana,Eating
13:01.0,13:22.9,Glasses,Non-Eating
13:50.5,14:11.1,Phone,Non-Eating
02:56.9,03:05.6,Pizza,Chewing
03:08.0,03:24.1,Pizza,Chewing
03:29.3,03:40.6,Pizza,Chewing
03:45.0,03:59.5,Pizza,Chewing
04:02.5,04:13.0,Pizza,Chewing
04:17.7,04:34.5,Pizza,Chewing
04:39.9,04:50.6,Pizza,Chewing
04:55.1,05:13.9,Pizza,Chewing
05:18.1,05:32.3,Pizza,Chewing
05:35.5,05:59.8,Pizza,Chewing
08:49.1,09:05.7,Pritzl,Chewing
09:08.8,09:20.3,Pritzl,Chewing
09:26.2,09:41.5,Pritzl,Chewing
09:43.7,10:00.3,Pritzl,Chewing
11:30.7,11:37.3,Bannana,Chewing
11:41.0,11:47.5,Bannana,Chewing
11:50.1,11:57.0,Bannana,Chewing
11:59.7,12:07.8,Bannana,Chewing
12:10.6,12:17.9,Bannana,Chewing
12:22.2,12:29.4,Bannana,Chewing
12:33.3,12:41.0,Bannana,Chewing
06:44.6,06:44.6,Water,Swallow
06:49.7,06:49.7,Water,Swallow
06:54.0,06:54.0,Water,Swallow
06:56.5,06:56.5,Water,Swallow
07:03.1,07:03.1,Water,Swallow
07:10.5,07:10.5,Water,Swallow
07:17.4,07:17.4,Water,Swallow
07:25.4,07:25.4,Water,Swallow
07:31.6,07:31.6,Water,Swallow
07:39.0,07:39.0,Water,Swallow
07:47.3,07:47.3,Water,Swallow
05:32.0,05:32.0,Pizza,Swallow
04:50.4,04:50.4,Pizza,Swallow
03:05.0,03:05.0,Pizza,Swallow
03:24.3,03:24.3,Pizza,Swallow
03:40.4,03:40.4,Pizza,Swallow
03:57.4,03:57.4,Pizza,Swallow
04:12.4,04:12.4,Pizza,Swallow
04:34.5,04:34.5,Pizza,Swallow
05:13.3,05:13.3,Pizza,Swallow
05:59.0,05:59.0,Pizza,Swallow
09:04.5,09:04.5,Pritzl,Swallow
09:21.0,09:21.0,Pritzl,Swallow
09:58.1,09:58.1,Pritzl,Swallow
11:35.7,11:35.7,Bannana,Swallow
11:45.8,11:45.8,Bannana,Swallow
11:55.0,11:55.0,Bannana,Swallow
12:05.0,12:05.0,Bannana,Swallow
12:14.9,12:14.9,Bannana,Swallow
12:28.0,12:28.0,Bannana,Swallow
12:41.1,12:41.1,Bannana,Swallow
12:43.1,12:50.4,Bannana,Chewing
12:50.3,12:50.3,Bannana,Swallow
