StudyName,StudyId,DeviceId,SensorId,Time,Resistance
will-right,0,0,5,2016-03-18 15:32:00.936,4793.0
will-right,0,0,5,2016-03-18 15:32:05.911,4936.0
will-right,0,0,5,2016-03-18 15:32:10.894,4688.0
will-right,0,0,5,2016-03-18 15:32:15.873,11449.0
will-right,0,0,5,2016-03-18 15:32:20.844,5860.0
will-right,0,0,5,2016-03-18 15:32:25.846,4826.0
will-right,0,0,5,2016-03-18 15:32:30.811,4988.0
will-right,0,0,5,2016-03-18 15:32:35.807,4432.0
will-right,0,0,5,2016-03-18 15:32:40.794,4375.0
will-right,0,0,5,2016-03-18 15:32:45.773,4211.0
will-right,0,0,5,2016-03-18 15:32:50.745,4107.0
will-right,0,0,5,2016-03-18 15:32:55.718,3697.0
will-right,0,0,5,2016-03-18 15:33:00.693,3520.0
will-right,0,0,5,2016-03-18 15:33:05.693,3192.0
will-right,0,0,5,2016-03-18 15:33:10.660,3179.0
will-right,0,0,5,2016-03-18 15:33:15.644,3108.0
will-right,0,0,5,2016-03-18 15:33:20.610,2938.0
will-right,0,0,5,2016-03-18 15:33:25.603,2867.0
will-right,0,0,5,2016-03-18 15:33:30.576,2733.0
will-right,0,0,5,2016-03-18 15:33:35.561,2992.0
will-right,0,0,5,2016-03-18 15:33:40.553,3209.0
will-right,0,0,5,2016-03-18 15:33:45.510,3496.0
will-right,0,0,5,2016-03-18 15:33:50.506,3293.0
will-right,0,0,5,2016-03-18 15:33:55.495,3205.0
will-right,0,0,5,2016-03-18 15:34:00.468,3213.0
will-right,0,0,5,2016-03-18 15:34:05.443,3213.0
will-right,0,0,5,2016-03-18 15:34:10.423,3129.0
will-right,0,0,5,2016-03-18 15:34:15.420,3116.0
will-right,0,0,5,2016-03-18 15:34:20.393,3067.0
will-right,0,0,5,2016-03-18 15:34:25.363,3059.0
will-right,0,0,5,2016-03-18 15:34:30.342,2992.0
will-right,0,0,5,2016-03-18 15:34:35.322,3027.0
will-right,0,0,5,2016-03-18 15:34:40.323,3108.0
will-right,0,0,5,2016-03-18 15:34:45.286,3071.0
will-right,0,0,5,2016-03-18 15:34:50.260,3116.0
will-right,0,0,5,2016-03-18 15:34:55.237,3087.0
will-right,0,0,5,2016-03-18 15:35:00.217,3055.0
will-right,0,0,5,2016-03-18 15:35:05.210,3063.0
will-right,0,0,5,2016-03-18 15:35:10.181,3079.0
will-right,0,0,5,2016-03-18 15:35:15.179,3023.0
will-right,0,0,5,2016-03-18 15:35:20.137,3007.0
will-right,0,0,5,2016-03-18 15:35:25.133,3000.0
will-right,0,0,5,2016-03-18 15:35:30.121,3000.0
will-right,0,0,5,2016-03-18 15:35:35.098,2949.0
will-right,0,0,5,2016-03-18 15:35:40.068,2949.0
will-right,0,0,5,2016-03-18 15:35:45.069,2923.0
will-right,0,0,5,2016-03-18 15:35:50.047,2942.0
will-right,0,0,5,2016-03-18 15:35:55.031,2923.0
will-right,0,0,5,2016-03-18 15:35:59.985,2923.0
will-right,0,0,5,2016-03-18 15:36:04.970,2915.0
