StudyName,StudyId,DeviceId,SensorId,Time,Accx,Accy,Accz
shibo-left,0,0,0,2016-03-21 13:12:27.463,0.0073242188,0.39746094,0.9169922
shibo-left,0,0,0,2016-03-21 13:12:27.471,0.01586914,0.39819336,0.9255371
shibo-left,0,0,0,2016-03-21 13:12:27.486,0.020996094,0.3930664,0.92211914
shibo-left,0,0,0,2016-03-21 13:12:27.492,0.024414063,0.38891602,0.9250488
shibo-left,0,0,0,2016-03-21 13:12:27.520,0.016601563,0.38720703,0.9223633
shibo-left,0,0,0,2016-03-21 13:12:27.551,0.010009766,0.39111328,0.9260254
shibo-left,0,0,0,2016-03-21 13:12:27.600,0.01171875,0.39526367,0.9230957
shibo-left,0,0,0,2016-03-21 13:12:27.633,0.016113281,0.3984375,0.92163086
shibo-left,0,0,0,2016-03-21 13:12:27.640,0.021972656,0.38964844,0.92163086
shibo-left,0,0,0,2016-03-21 13:12:27.700,0.01977539,0.3852539,0.9260254
shibo-left,0,0,0,2016-03-21 13:12:27.708,0.011230469,0.3881836,0.9243164
shibo-left,0,0,0,2016-03-21 13:12:27.763,0.017822266,0.3972168,0.921875
shibo-left,0,0,0,2016-03-21 13:12:27.777,0.013916016,0.38623047,0.9248047
shibo-left,0,0,0,2016-03-21 13:12:27.865,0.017333984,0.3984375,0.9194336
shibo-left,0,0,0,2016-03-21 13:12:27.876,0.018310547,0.38476563,0.92529297
shibo-left,0,0,0,2016-03-21 13:12:27.911,0.0146484375,0.39257813,0.92285156
shibo-left,0,0,0,2016-03-21 13:12:27.950,0.011230469,0.39257813,0.9206543
shibo-left,0,0,0,2016-03-21 13:12:27.976,0.016113281,0.39208984,0.92211914
shibo-left,0,0,0,2016-03-21 13:12:28.001,0.016845703,0.3959961,0.91748047
shibo-left,0,0,0,2016-03-21 13:12:28.051,0.019042969,0.39160156,0.92211914
shibo-left,0,0,0,2016-03-21 13:12:28.077,0.018310547,0.38476563,0.9211426
shibo-left,0,0,0,2016-03-21 13:12:28.101,0.0146484375,0.39453125,0.92041016
shibo-left,0,0,0,2016-03-21 13:12:28.153,0.009765625,0.39501953,0.91967773
