StudyName,StudyId,DeviceId,SensorId,Time,Resistance
shibo-right,0,0,5,2016-03-21 13:12:32.224,18980.0
shibo-right,0,0,5,2016-03-21 13:12:37.191,17788.0
shibo-right,0,0,5,2016-03-21 13:12:42.177,29796.0
shibo-right,0,0,5,2016-03-21 13:12:47.168,16504.0
shibo-right,0,0,5,2016-03-21 13:12:52.129,15925.0
shibo-right,0,0,5,2016-03-21 13:12:57.117,14875.0
shibo-right,0,0,5,2016-03-21 13:13:02.108,14633.0
shibo-right,0,0,5,2016-03-21 13:13:07.072,14340.0
shibo-right,0,0,5,2016-03-21 13:13:12.074,14456.0
shibo-right,0,0,5,2016-03-21 13:13:17.051,18980.0
shibo-right,0,0,5,2016-03-21 13:13:22.022,22540.0
shibo-right,0,0,5,2016-03-21 13:13:27.002,18140.0
shibo-right,0,0,5,2016-03-21 13:13:32.000,15786.0
shibo-right,0,0,5,2016-03-21 13:13:36.969,15062.0
shibo-right,0,0,5,2016-03-21 13:13:41.947,13840.0
shibo-right,0,0,5,2016-03-21 13:13:46.916,12653.0
shibo-right,0,0,5,2016-03-21 13:13:51.898,12255.0
shibo-right,0,0,5,2016-03-21 13:13:56.878,11921.0
shibo-right,0,0,5,2016-03-21 13:14:01.866,11641.0
shibo-right,0,0,5,2016-03-21 13:14:06.841,11799.0
shibo-right,0,0,5,2016-03-21 13:14:11.824,11641.0
shibo-right,0,0,5,2016-03-21 13:14:16.803,11337.0
shibo-right,0,0,5,2016-03-21 13:14:21.791,10838.0
shibo-right,0,0,5,2016-03-21 13:14:26.774,10538.0
shibo-right,0,0,5,2016-03-21 13:14:31.749,10314.0
shibo-right,0,0,5,2016-03-21 13:14:36.726,10252.0
shibo-right,0,0,5,2016-03-21 13:14:41.723,10906.0
shibo-right,0,0,5,2016-03-21 13:14:46.703,9981.0
shibo-right,0,0,5,2016-03-21 13:14:51.671,10838.0
shibo-right,0,0,5,2016-03-21 13:14:56.641,10976.0
shibo-right,0,0,5,2016-03-21 13:15:01.625,12607.0
shibo-right,0,0,5,2016-03-21 13:15:06.604,12562.0
shibo-right,0,0,5,2016-03-21 13:15:11.591,11880.0
shibo-right,0,0,5,2016-03-21 13:15:16.566,11799.0
shibo-right,0,0,5,2016-03-21 13:15:21.554,11603.0
shibo-right,0,0,5,2016-03-21 13:15:26.530,11374.0
shibo-right,0,0,5,2016-03-21 13:15:31.516,11525.0
shibo-right,0,0,5,2016-03-21 13:15:36.499,10702.0
shibo-right,0,0,5,2016-03-21 13:15:41.472,10409.0
shibo-right,0,0,5,2016-03-21 13:15:46.448,10160.0
