StudyName,StudyId,DeviceId,SensorId,Time,Temp
shibo-right,0,0,0,2016-03-21 13:12:31.450,27.35
shibo-right,0,0,0,2016-03-21 13:12:41.049,27.68
shibo-right,0,0,0,2016-03-21 13:13:11.148,27.86
shibo-right,0,0,0,2016-03-21 13:13:41.222,28.09
shibo-right,0,0,0,2016-03-21 13:14:11.292,28.31
shibo-right,0,0,0,2016-03-21 13:14:41.369,28.48
shibo-right,0,0,0,2016-03-21 13:15:11.447,28.69
shibo-right,0,0,0,2016-03-21 13:15:41.538,28.86
shibo-right,0,0,0,2016-03-21 13:16:11.619,29.05
shibo-right,0,0,0,2016-03-21 13:16:41.699,29.09
shibo-right,0,0,0,2016-03-21 13:17:11.791,29.28
shibo-right,0,0,0,2016-03-21 13:17:41.880,29.43
shibo-right,0,0,0,2016-03-21 13:18:11.948,29.54
shibo-right,0,0,0,2016-03-21 13:18:42.046,29.62
shibo-right,0,0,0,2016-03-21 13:19:12.124,29.66
shibo-right,0,0,0,2016-03-21 13:19:42.190,29.66
shibo-right,0,0,0,2016-03-21 13:20:12.266,29.72
shibo-right,0,0,0,2016-03-21 13:20:42.376,29.77
shibo-right,0,0,0,2016-03-21 13:21:12.450,29.81
shibo-right,0,0,0,2016-03-21 13:21:42.515,29.89
shibo-right,0,0,0,2016-03-21 13:22:12.597,29.92
shibo-right,0,0,0,2016-03-21 13:22:42.698,29.92
shibo-right,0,0,0,2016-03-21 13:23:12.773,29.94
shibo-right,0,0,0,2016-03-21 13:23:42.849,30.0
