StudyName,StudyId,DeviceId,SensorId,Time,Accx,Accy,Accz
will-left,0,0,0,2016-03-18 15:32:01.756,-0.86279297,0.15820313,0.5061035
will-left,0,0,0,2016-03-18 15:32:01.814,-0.86816406,0.12670898,0.49316406
will-left,0,0,0,2016-03-18 15:32:01.815,-0.861084,0.14208984,0.49804688
will-left,0,0,0,2016-03-18 15:32:01.816,-0.8552246,0.14257813,0.4892578
will-left,0,0,0,2016-03-18 15:32:01.817,-0.8618164,0.12182617,0.4831543
will-left,0,0,0,2016-03-18 15:32:01.818,-0.8691406,0.13134766,0.48999023
will-left,0,0,0,2016-03-18 15:32:01.859,-0.88720703,0.12841797,0.49267578
will-left,0,0,0,2016-03-18 15:32:01.885,-0.85302734,0.13891602,0.50634766
will-left,0,0,0,2016-03-18 15:32:01.898,-0.8762207,0.12548828,0.49536133
will-left,0,0,0,2016-03-18 15:32:01.911,-0.87109375,0.12792969,0.4958496
will-left,0,0,0,2016-03-18 15:32:01.961,-0.85961914,0.14208984,0.50439453
will-left,0,0,0,2016-03-18 15:32:01.977,-0.86987305,0.118896484,0.4934082
will-left,0,0,0,2016-03-18 15:32:02.012,-0.85791016,0.10205078,0.48999023
will-left,0,0,0,2016-03-18 15:32:02.036,-0.85058594,0.11230469,0.49609375
will-left,0,0,0,2016-03-18 15:32:02.076,-0.8691406,0.11328125,0.5048828
will-left,0,0,0,2016-03-18 15:32:02.077,-0.87231445,0.10839844,0.5019531
will-left,0,0,0,2016-03-18 15:32:02.146,-0.85302734,0.14770508,0.51416016
will-left,0,0,0,2016-03-18 15:32:02.179,-0.85961914,0.14038086,0.5073242
will-left,0,0,0,2016-03-18 15:32:02.205,-0.87353516,0.14160156,0.50341797
will-left,0,0,0,2016-03-18 15:32:02.217,-0.84350586,0.15014648,0.5078125
will-left,0,0,0,2016-03-18 15:32:02.241,-0.8354492,0.13232422,0.5031738
will-left,0,0,0,2016-03-18 15:32:02.265,-0.8730469,0.12573242,0.48999023
will-left,0,0,0,2016-03-18 15:32:02.321,-0.85668945,0.12792969,0.49438477
will-left,0,0,0,2016-03-18 15:32:02.355,-0.86694336,0.119140625,0.4975586
will-left,0,0,0,2016-03-18 15:32:02.434,-0.85009766,0.12988281,0.49560547
will-left,0,0,0,2016-03-18 15:32:02.442,-0.8564453,0.12915039,0.4934082
will-left,0,0,0,2016-03-18 15:32:02.492,-0.8720703,0.11816406,0.49047852
will-left,0,0,0,2016-03-18 15:32:02.510,-0.86328125,0.123291016,0.49121094
