StudyName,StudyId,DeviceId,SensorId,Time,Temp
will-right,0,0,1,2016-03-18 15:31:55.919,29.57
will-right,0,0,1,2016-03-18 15:32:11.952,29.68
will-right,0,0,1,2016-03-18 15:32:42.046,29.74
will-right,0,0,1,2016-03-18 15:33:12.110,29.8
will-right,0,0,1,2016-03-18 15:33:42.218,29.89
will-right,0,0,1,2016-03-18 15:34:12.285,29.92
will-right,0,0,1,2016-03-18 15:34:42.369,29.96
will-right,0,0,1,2016-03-18 15:35:12.443,29.99
will-right,0,0,1,2016-03-18 15:35:42.543,30.01
will-right,0,0,1,2016-03-18 15:36:12.610,30.03
will-right,0,0,1,2016-03-18 15:36:42.695,30.04
will-right,0,0,1,2016-03-18 15:37:12.772,30.04
will-right,0,0,1,2016-03-18 15:37:42.871,30.03
will-right,0,0,1,2016-03-18 15:38:12.934,30.0
will-right,0,0,1,2016-03-18 15:38:43.019,29.96
will-right,0,0,1,2016-03-18 15:39:13.092,29.94
will-right,0,0,1,2016-03-18 15:39:43.190,29.96
will-right,0,0,1,2016-03-18 15:40:13.259,29.94
will-right,0,0,1,2016-03-18 15:40:43.343,29.92
will-right,0,0,1,2016-03-18 15:41:13.420,29.9
will-right,0,0,1,2016-03-18 15:41:43.505,29.91
will-right,0,0,1,2016-03-18 15:42:13.588,29.92
will-right,0,0,1,2016-03-18 15:42:43.665,29.91
will-right,0,0,1,2016-03-18 15:43:13.759,29.92
will-right,0,0,1,2016-03-18 15:43:43.842,29.93
will-right,0,0,1,2016-03-18 15:44:13.925,29.96
will-right,0,0,1,2016-03-18 15:44:43.996,29.99
will-right,0,0,1,2016-03-18 15:45:14.083,30.0
will-right,0,0,1,2016-03-18 15:45:44.165,29.97
will-right,0,0,1,2016-03-18 15:46:14.255,29.92
will-right,0,0,1,2016-03-18 15:46:44.342,29.93
will-right,0,0,1,2016-03-18 15:47:14.420,29.92
will-right,0,0,1,2016-03-18 15:47:44.495,29.88
will-right,0,0,1,2016-03-18 15:48:14.559,29.89
will-right,0,0,1,2016-03-18 15:48:44.672,29.92
will-right,0,0,1,2016-03-18 15:49:14.747,29.91
will-right,0,0,1,2016-03-18 15:49:44.815,29.91
will-right,0,0,1,2016-03-18 15:50:14.917,29.9
will-right,0,0,1,2016-03-18 15:50:44.991,29.88
